t,pid,crossfire.exe@db906c+0,crossfire.exe@db906c+1,crossfire.exe@db906c+2,crossfire.exe@db906c+3,crossfire.exe@db9094+0,crossfire.exe@db9094+1,crossfire.exe@db9094+2,crossfire.exe@db9094+3,crossfire.exe@db90c4+0,crossfire.exe@db90c4+1,crossfire.exe@db90c4+2,crossfire.exe@db90c4+3,crossfire.exe@dbfe54+0,crossfire.exe@dbfe54+1,crossfire.exe@dbfe54+2,crossfire.exe@dbfe54+3,crossfire.exe@dbfe94+0,crossfire.exe@dbfe94+1,crossfire.exe@dbfe94+2,crossfire.exe@dbfe94+3,crossfire.exe@dc13e0+0,crossfire.exe@dc13e0+1,crossfire.exe@dc13e0+2,crossfire.exe@dc13e0+3,crossfire.exe@dcbb9c+0,crossfire.exe@dcbb9c+1,crossfire.exe@dcbb9c+2,crossfire.exe@dcbb9c+3,crossfire.exe@dd7aa0+0,crossfire.exe@dd7aa0+1,crossfire.exe@dd7aa0+2,crossfire.exe@dd7aa0+3,cshell.dll@16a53e0+0,cshell.dll@16a53e0+1,cshell.dll@16a53e0+2,cshell.dll@16a53e0+3,cshell.dll@16a5400+0,cshell.dll@16a5400+1,cshell.dll@16a5400+2,cshell.dll@16a5400+3,cshell.dll@1e71000+0,cshell.dll@1e71000+1,cshell.dll@1e71000+2,cshell.dll@1e71000+3,cshell.dll@1e8e478+0,cshell.dll@1e8e478+1,cshell.dll@1e8e478+2,cshell.dll@1e8e478+3,cshell.dll@1e8e498+0,cshell.dll@1e8e498+1,cshell.dll@1e8e498+2,cshell.dll@1e8e498+3,d3d@1a8878,d3d@1a8a88,d3d@1a8a90,d3d@1a8a98,d3d@1a8a9c,d3d@1a8aa0,d3d@1a8ab0,d3d@1a8abc,d3d@1a8bf4,d3d@1a8c24,d3d@1a8cdc,d3d@1a8d28,d3d@1a8d50,d3d@1a8d58,d3d@1a8d5c,d3d@1a8d60,d3d@1a8d6c,d3d@1a8d74,d3d@1a8d88,d3d@1a8d8c,d3d@1a8d98,d3d@1a8da4,d3d@1a8db4,d3d@1a8dbc,d3d@1a8dc4,d3d@1a8dcc,d3d@1a8dd0,d3d@1a8dd4,d3d@1a8dd8,d3d@1a8de0,d3d@1a8dec,d3d@1a8df4,d3d@1a8e04,d3d@1a8e0c,d3d@1a8e10,d3d@1a8e18,d3d@1a8e24,d3d@1a8e44,d3d@1a8f20,d3d@1a8f28
1788306611.7774491,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306611.8784242,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306611.9795272,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306612.0800264,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306612.1806712,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306612.2816775,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306612.3821468,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306612.4825299,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306612.5906982,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306612.6914885,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306612.7922611,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306612.8931944,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306612.9936008,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306613.0941184,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306613.2107077,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306613.3112433,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306613.4117491,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306613.5123117,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306613.6129792,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306613.7139733,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306613.8146255,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306613.9150963,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306614.015766,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306614.1162283,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306614.2165956,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
1788306614.317479,27512,7.006492321624085e-45,8.407790785948902e-45,1.401298464324817e-45,1.401298464324817e-45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f1f8400,c1018d48,8bc1eb0c,000f1f80,00000000,8b5df48b,c8c1f905,f085148e,008b450c,008bca81,01a90000,088b04b9,f8000000,098bc1c1,e817a801,0f85e300,0facc214,f0010000,20040000,a810751b,0d83ff06,45f88b73,1f83ff06,00000006,1af6c101,07c745f0,02000000,8b45f889,45f8660f,8b45108b,058bcb8b,0000d3e0,75108078,8b4dfcc6,81582000,348b5514,108b088b,017599eb,5dc21400,cccccccc
